
RAMBO Results:
R=2, B=35, n=10000000, p=0.01: FP=0.2500, Time=0.0180ms, Mem=799.84MB
R=2, B=35, n=10000000, p=0.1: FP=0.2500, Time=0.0145ms, Mem=399.92MB
R=2, B=35, n=10000000, p=0.2: FP=0.2500, Time=0.0150ms, Mem=279.53MB
R=2, B=35, n=15000000, p=0.01: FP=0.2500, Time=0.0335ms, Mem=1199.76MB
R=2, B=35, n=15000000, p=0.1: FP=0.2500, Time=0.0154ms, Mem=599.88MB
R=2, B=35, n=15000000, p=0.2: FP=0.2500, Time=0.0173ms, Mem=419.30MB
R=2, B=35, n=20000000, p=0.01: FP=0.2500, Time=0.0534ms, Mem=1599.68MB
R=2, B=35, n=20000000, p=0.1: FP=0.2500, Time=0.0161ms, Mem=799.84MB
R=2, B=35, n=20000000, p=0.2: FP=0.2500, Time=0.0169ms, Mem=559.06MB
R=2, B=40, n=10000000, p=0.01: FP=0.2500, Time=0.0198ms, Mem=914.10MB
R=2, B=40, n=10000000, p=0.1: FP=0.2500, Time=0.0183ms, Mem=457.05MB
R=2, B=40, n=10000000, p=0.2: FP=0.2500, Time=0.0181ms, Mem=319.47MB
R=2, B=40, n=15000000, p=0.01: FP=0.2500, Time=0.0428ms, Mem=1371.15MB
R=2, B=40, n=15000000, p=0.1: FP=0.2500, Time=0.0190ms, Mem=685.58MB
R=2, B=40, n=15000000, p=0.2: FP=0.2500, Time=0.0223ms, Mem=479.20MB
R=2, B=40, n=20000000, p=0.01: FP=0.2500, Time=0.0499ms, Mem=1828.20MB
R=2, B=40, n=20000000, p=0.1: FP=0.2500, Time=0.0201ms, Mem=914.10MB
R=2, B=40, n=20000000, p=0.2: FP=0.2500, Time=0.0223ms, Mem=638.93MB
R=2, B=45, n=10000000, p=0.01: FP=0.2500, Time=0.0256ms, Mem=1028.37MB
R=2, B=45, n=10000000, p=0.1: FP=0.2500, Time=0.0223ms, Mem=514.18MB
R=2, B=45, n=10000000, p=0.2: FP=0.2500, Time=0.0176ms, Mem=359.40MB
R=2, B=45, n=15000000, p=0.01: FP=0.2500, Time=0.0208ms, Mem=1542.55MB
R=2, B=45, n=15000000, p=0.1: FP=0.2500, Time=0.0208ms, Mem=771.27MB
R=2, B=45, n=15000000, p=0.2: FP=0.2500, Time=0.0185ms, Mem=539.10MB
