
RAMBO Results:
R=1, B=30, n=20000000, p=0.01: FP=0.3555, Time=0.0086ms, Mem=685.58MB
R=1, B=30, n=20000000, p=0.2: FP=0.3555, Time=0.0075ms, Mem=239.60MB
R=1, B=30, n=20000000, p=0.4: FP=0.3555, Time=0.0088ms, Mem=136.41MB
R=1, B=40, n=20000000, p=0.01: FP=0.2500, Time=0.0130ms, Mem=914.10MB
R=1, B=40, n=20000000, p=0.2: FP=0.2500, Time=0.0117ms, Mem=319.47MB
R=1, B=40, n=20000000, p=0.4: FP=0.2500, Time=0.0085ms, Mem=181.88MB
R=1, B=50, n=20000000, p=0.01: FP=0.2500, Time=0.0148ms, Mem=1142.63MB
R=1, B=50, n=20000000, p=0.2: FP=0.2500, Time=0.0129ms, Mem=399.33MB
R=1, B=50, n=20000000, p=0.4: FP=0.2500, Time=0.0115ms, Mem=227.35MB
R=1, B=60, n=20000000, p=0.01: FP=0.3555, Time=0.0162ms, Mem=1371.15MB
R=1, B=60, n=20000000, p=0.2: FP=0.3555, Time=0.0164ms, Mem=479.20MB
R=1, B=60, n=20000000, p=0.4: FP=0.3555, Time=0.0138ms, Mem=272.82MB
R=3, B=30, n=20000000, p=0.01: FP=0.3555, Time=0.1119ms, Mem=2056.73MB
R=3, B=30, n=20000000, p=0.2: FP=0.3555, Time=0.0252ms, Mem=718.80MB
R=3, B=30, n=20000000, p=0.4: FP=0.3555, Time=0.0196ms, Mem=409.23MB
R=3, B=40, n=20000000, p=0.01: FP=0.2500, Time=0.1074ms, Mem=2742.31MB
R=3, B=40, n=20000000, p=0.2: FP=0.2500, Time=0.0292ms, Mem=958.40MB
R=3, B=40, n=20000000, p=0.4: FP=0.2500, Time=0.0238ms, Mem=545.64MB
R=3, B=50, n=20000000, p=0.01: FP=0.2500, Time=0.2075ms, Mem=3427.88MB
R=3, B=50, n=20000000, p=0.2: FP=0.2500, Time=0.0306ms, Mem=1197.99MB
R=3, B=50, n=20000000, p=0.4: FP=0.2500, Time=0.0283ms, Mem=682.05MB
R=3, B=60, n=20000000, p=0.01: FP=0.3555, Time=0.2800ms, Mem=4113.46MB
R=3, B=60, n=20000000, p=0.2: FP=0.3555, Time=0.0365ms, Mem=1437.59MB
R=3, B=60, n=20000000, p=0.4: FP=0.3555, Time=0.0351ms, Mem=818.46MB
R=5, B=30, n=20000000, p=0.01: FP=0.3555, Time=0.2227ms, Mem=3427.88MB
R=5, B=30, n=20000000, p=0.2: FP=0.3555, Time=0.0313ms, Mem=1197.99MB
R=5, B=30, n=20000000, p=0.4: FP=0.3555, Time=0.0346ms, Mem=682.05MB
R=5, B=40, n=20000000, p=0.01: FP=0.2500, Time=0.4087ms, Mem=4570.51MB
R=5, B=40, n=20000000, p=0.2: FP=0.2500, Time=0.0406ms, Mem=1597.33MB
R=5, B=40, n=20000000, p=0.4: FP=0.2500, Time=0.0381ms, Mem=909.39MB
R=5, B=50, n=20000000, p=0.01: FP=0.2500, Time=0.6110ms, Mem=5713.14MB
R=5, B=50, n=20000000, p=0.2: FP=0.2500, Time=0.0642ms, Mem=1996.66MB
R=5, B=50, n=20000000, p=0.4: FP=0.2500, Time=0.0524ms, Mem=1136.74MB
R=5, B=60, n=20000000, p=0.01: FP=0.3555, Time=0.9485ms, Mem=6855.77MB
R=5, B=60, n=20000000, p=0.2: FP=0.3555, Time=0.2457ms, Mem=2395.99MB
R=5, B=60, n=20000000, p=0.4: FP=0.3555, Time=0.0705ms, Mem=1364.09MB
R=7, B=30, n=20000000, p=0.01: FP=0.3555, Time=0.5658ms, Mem=4799.04MB
R=7, B=30, n=20000000, p=0.2: FP=0.3555, Time=0.0528ms, Mem=1677.19MB
R=7, B=30, n=20000000, p=0.4: FP=0.3555, Time=0.0418ms, Mem=954.86MB
R=7, B=40, n=20000000, p=0.01: FP=0.2500, Time=0.7685ms, Mem=6398.72MB
R=7, B=40, n=20000000, p=0.2: FP=0.2500, Time=0.1250ms, Mem=2236.26MB
R=7, B=40, n=20000000, p=0.4: FP=0.2500, Time=0.0600ms, Mem=1273.15MB
R=7, B=50, n=20000000, p=0.01: FP=0.2500, Time=1.1424ms, Mem=7998.40MB
R=7, B=50, n=20000000, p=0.2: FP=0.2500, Time=0.4036ms, Mem=2795.32MB
R=7, B=50, n=20000000, p=0.4: FP=0.2500, Time=0.0688ms, Mem=1591.44MB
R=7, B=60, n=20000000, p=0.01: FP=0.3555, Time=1.4114ms, Mem=9598.08MB
R=7, B=60, n=20000000, p=0.2: FP=0.3555, Time=0.4324ms, Mem=3354.38MB
R=7, B=60, n=20000000, p=0.4: FP=0.3555, Time=0.0812ms, Mem=1909.73MB
